,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-08-29,8,2020-08-29,15.964285714285714,21.414285714285715,71.92857142857143,997.907142857143,252.35714285714286,4.0285714285714285,5.071428571428571,155.14285714285714,156.64285714285714
2020-08-29,8,2020-08-29,15.964285714285714,21.414285714285715,71.92857142857143,997.907142857143,252.35714285714286,4.0285714285714285,5.071428571428571,155.14285714285714,156.64285714285714
2020-08-29,8,2020-08-29,15.964285714285714,21.414285714285715,71.92857142857143,997.907142857143,252.35714285714286,4.0285714285714285,5.071428571428571,155.14285714285714,156.64285714285714
2020-08-29,8,2020-08-29,15.964285714285714,21.414285714285715,71.92857142857143,997.907142857143,252.35714285714286,4.0285714285714285,5.071428571428571,155.14285714285714,156.64285714285714
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
